Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Wellington,Kōhanga Reo,Māori,Age 4,259,267,232,232,238,240,222,180,183,168,175,166,216,177,197
Waikato,Kōhanga Reo,Māori,Age 4,392,366,356,393,409,395,347,342,293,343,325,349,370,369,324
Tasman,Kōhanga Reo,Māori,Age 4,4,6,2,3,6,2,1,1,2,2,3,4,1,2,4
Taranaki,Kōhanga Reo,Māori,Age 4,92,88,79,84,90,91,72,64,69,71,50,72,68,88,73
Southland,Kōhanga Reo,Māori,Age 4,44,40,30,47,36,40,20,23,26,17,21,26,31,27,31
Otago,Kōhanga Reo,Māori,Age 4,23,15,21,22,13,18,5,9,10,8,10,13,12,14,16
Northland,Kōhanga Reo,Māori,Age 4,266,244,250,242,277,243,225,164,159,147,163,172,175,160,175
Nelson,Kōhanga Reo,Māori,Age 4,19,18,10,11,16,12,16,12,13,12,13,18,16,7,8
Marlborough,Kōhanga Reo,Māori,Age 4,11,7,13,12,14,12,11,10,7,8,4,6,8,8,2
Manawatu-Wanganui,Kōhanga Reo,Māori,Age 4,312,293,308,255,288,242,217,189,187,215,179,205,205,248,210
Hawkes Bay,Kōhanga Reo,Māori,Age 4,258,238,218,214,269,259,255,212,210,227,213,215,224,248,205
Gisborne,Kōhanga Reo,Māori,Age 4,134,145,126,139,137,135,145,135,95,99,115,105,105,106,107
Canterbury,Kōhanga Reo,Māori,Age 4,53,50,43,54,31,33,34,28,25,20,29,16,31,32,32
Bay of Plenty,Kōhanga Reo,Māori,Age 4,537,563,529,437,537,434,476,402,442,444,430,451,430,456,411
Auckland,Kōhanga Reo,Māori,Age 4,388,372,334,354,344,364,347,275,270,274,242,278,292,274,306
Area outside regions,Kōhanga Reo,Māori,Age 4,8,6,3,4,4,8,2,6,1,3,5,2,10,4,2
West Coast,Kindergarten,Māori,Age 4,19,23,28,29,35,24,35,29,25,22,26,17,23,17,21
Wellington,Kindergarten,Māori,Age 4,481,531,555,566,584,590,572,626,616,581,604,655,597,639,511
Waikato,Kindergarten,Māori,Age 4,570,542,632,649,721,720,741,658,609,634,650,714,713,632,537
Tasman,Kindergarten,Māori,Age 4,19,18,37,32,35,22,26,30,27,23,26,14,33,24,27
Taranaki,Kindergarten,Māori,Age 4,172,145,179,189,190,189,170,157,164,174,166,176,162,175,137
Southland,Kindergarten,Māori,Age 4,106,128,132,129,146,156,131,109,119,109,132,113,105,115,98
Otago,Kindergarten,Māori,Age 4,91,114,108,113,119,102,118,104,89,116,102,115,103,123,95
Northland,Kindergarten,Māori,Age 4,250,267,279,271,290,270,275,285,232,300,276,272,269,266,250
Nelson,Kindergarten,Māori,Age 4,45,41,40,59,51,47,48,39,52,37,45,32,49,40,35
Marlborough,Kindergarten,Māori,Age 4,28,35,44,44,48,52,40,47,40,28,22,31,36,37,39
Manawatu-Wanganui,Kindergarten,Māori,Age 4,436,422,426,389,440,390,378,378,371,376,386,359,389,349,332
Hawkes Bay,Kindergarten,Māori,Age 4,326,280,330,325,337,322,298,255,292,257,275,266,278,251,261
Gisborne,Kindergarten,Māori,Age 4,122,117,142,132,126,138,130,135,134,115,128,119,116,106,104
Canterbury,Kindergarten,Māori,Age 4,333,367,369,346,394,389,372,381,357,320,330,283,301,299,263
Bay of Plenty,Kindergarten,Māori,Age 4,410,440,427,413,503,519,462,359,365,351,332,330,329,309,257
Auckland,Kindergarten,Māori,Age 4,873,862,894,885,892,944,832,885,848,835,868,878,844,830,763
Area outside regions,Kindergarten,Māori,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Māori,Age 4,2,2,4,1,2,1,0,0,2,0,1,1,0,1,3
Wellington,Home-based,Māori,Age 4,15,20,14,13,26,13,23,21,26,24,25,37,38,52,47
Waikato,Home-based,Māori,Age 4,20,19,28,31,29,37,27,27,27,46,56,49,59,46,58
Tasman,Home-based,Māori,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Māori,Age 4,14,6,16,12,9,6,7,12,9,10,6,18,18,23,24
Southland,Home-based,Māori,Age 4,8,4,2,4,4,2,8,8,3,6,5,14,10,12,10
Otago,Home-based,Māori,Age 4,17,12,13,10,7,10,10,13,10,16,15,25,25,12,18
Northland,Home-based,Māori,Age 4,3,9,4,2,4,3,6,13,12,31,45,53,43,67,84
Nelson,Home-based,Māori,Age 4,6,4,3,4,2,5,2,5,1,3,1,2,5,0,4
Marlborough,Home-based,Māori,Age 4,2,0,2,0,0,1,0,0,2,2,0,4,2,5,3
Manawatu-Wanganui,Home-based,Māori,Age 4,5,1,5,6,11,10,16,19,31,51,73,93,75,84,55
Hawkes Bay,Home-based,Māori,Age 4,33,15,26,30,23,17,31,30,38,36,30,27,45,43,55
Gisborne,Home-based,Māori,Age 4,6,5,3,5,7,7,7,8,19,13,21,17,12,14,7
Canterbury,Home-based,Māori,Age 4,19,10,11,12,12,6,10,13,15,20,16,21,16,20,21
Bay of Plenty,Home-based,Māori,Age 4,43,35,30,52,58,51,70,61,76,94,103,158,190,168,222
Auckland,Home-based,Māori,Age 4,33,31,30,31,28,33,32,35,41,62,56,76,98,96,111
Area outside regions,Home-based,Māori,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Māori,Age 4,8,4,4,10,20,18,18,22,22,11,25,16,32,27,30
Wellington,Education & Care,Māori,Age 4,180,209,220,201,203,246,251,258,345,325,359,400,412,512,503
Waikato,Education & Care,Māori,Age 4,205,209,247,262,281,293,302,381,470,497,554,623,697,838,954
Tasman,Education & Care,Māori,Age 4,8,12,11,18,16,26,17,17,21,14,24,27,23,32,48
Taranaki,Education & Care,Māori,Age 4,40,48,56,51,70,79,60,61,100,82,120,125,165,164,204
Southland,Education & Care,Māori,Age 4,12,14,23,23,34,31,35,52,57,60,57,81,79,99,115
Otago,Education & Care,Māori,Age 4,42,53,52,71,69,71,69,85,99,103,114,116,162,148,156
Northland,Education & Care,Māori,Age 4,127,109,167,163,166,198,175,179,228,252,303,348,406,444,472
Nelson,Education & Care,Māori,Age 4,17,15,12,10,10,17,13,18,22,24,22,40,43,36,44
Marlborough,Education & Care,Māori,Age 4,23,11,23,13,16,13,17,11,37,31,38,49,41,67,56
Manawatu-Wanganui,Education & Care,Māori,Age 4,128,169,166,177,197,211,215,225,276,280,293,342,378,394,452
Hawkes Bay,Education & Care,Māori,Age 4,167,141,159,148,154,157,165,172,204,223,250,291,317,337,426
Gisborne,Education & Care,Māori,Age 4,86,69,78,88,70,99,100,102,119,126,150,157,174,195,217
Canterbury,Education & Care,Māori,Age 4,188,221,209,234,240,247,283,285,396,364,440,507,507,539,644
Bay of Plenty,Education & Care,Māori,Age 4,302,238,290,325,318,338,370,382,537,572,631,717,770,836,847
Auckland,Education & Care,Māori,Age 4,858,814,807,820,921,936,883,968,1111,1191,1388,1636,1809,1897,2132
Area outside regions,Education & Care,Māori,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,European/ Pākehā,Age 4,53,25,31,25,25,34,26,20,31,24,16,33,14,26,13
Wellington,Playcentre,European/ Pākehā,Age 4,250,232,184,239,215,236,220,211,185,229,211,196,215,146,180
Waikato,Playcentre,European/ Pākehā,Age 4,365,346,333,308,302,276,268,281,229,277,236,258,247,209,196
Tasman,Playcentre,European/ Pākehā,Age 4,80,73,69,67,79,73,79,79,56,55,53,47,49,42,41
Taranaki,Playcentre,European/ Pākehā,Age 4,71,75,85,83,83,78,98,72,80,84,70,54,63,82,66
Southland,Playcentre,European/ Pākehā,Age 4,126,104,96,96,98,85,92,102,106,73,73,49,67,65,71
Otago,Playcentre,European/ Pākehā,Age 4,228,185,158,190,204,186,206,184,165,143,144,136,127,124,118
Northland,Playcentre,European/ Pākehā,Age 4,178,138,137,132,141,133,132,103,124,113,102,117,109,62,64
Nelson,Playcentre,European/ Pākehā,Age 4,22,14,19,10,7,14,9,17,14,13,11,18,14,13,10
Marlborough,Playcentre,European/ Pākehā,Age 4,29,32,24,35,20,11,15,14,19,15,9,20,26,18,10
Manawatu-Wanganui,Playcentre,European/ Pākehā,Age 4,130,119,130,91,131,110,113,88,77,92,89,73,97,86,69
Hawkes Bay,Playcentre,European/ Pākehā,Age 4,73,52,50,45,49,30,29,39,34,40,35,46,46,39,48
Gisborne,Playcentre,European/ Pākehā,Age 4,23,19,35,24,20,23,13,14,15,18,7,13,11,18,16
Canterbury,Playcentre,European/ Pākehā,Age 4,476,464,385,415,413,382,369,378,337,306,322,303,321,260,298
Bay of Plenty,Playcentre,European/ Pākehā,Age 4,177,149,156,142,166,133,102,110,84,95,95,112,115,95,106
Auckland,Playcentre,European/ Pākehā,Age 4,432,369,360,369,347,382,318,311,304,300,338,335,329,298,282
Area outside regions,Playcentre,European/ Pākehā,Age 4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waikato,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay of Plenty,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area outside regions,Kōhanga Reo,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,European/ Pākehā,Age 4,189,179,169,160,164,170,160,161,152,144,158,136,147,157,131
Wellington,Kindergarten,European/ Pākehā,Age 4,2430,2356,2394,2402,2456,2307,2300,2208,2034,1869,1894,1934,1939,1820,1782
Waikato,Kindergarten,European/ Pākehā,Age 4,2149,2104,1953,1913,1938,1826,1817,1759,1551,1374,1241,1175,1136,986,928
Tasman,Kindergarten,European/ Pākehā,Age 4,276,238,253,232,233,253,248,245,249,237,210,198,213,183,158
Taranaki,Kindergarten,European/ Pākehā,Age 4,717,673,668,678,686,641,609,613,522,527,530,489,486,449,383
Southland,Kindergarten,European/ Pākehā,Age 4,719,681,745,728,742,706,684,675,615,580,558,597,553,487,458
Otago,Kindergarten,European/ Pākehā,Age 4,1036,1016,1027,979,981,930,940,859,781,777,683,706,679,690,640
Northland,Kindergarten,European/ Pākehā,Age 4,654,564,552,593,580,633,560,586,549,475,429,427,392,359,327
Nelson,Kindergarten,European/ Pākehā,Age 4,285,276,328,282,322,298,268,278,279,239,213,211,249,190,183
Marlborough,Kindergarten,European/ Pākehā,Age 4,269,267,255,240,250,255,209,210,179,157,201,157,169,169,159
Manawatu-Wanganui,Kindergarten,European/ Pākehā,Age 4,1338,1260,1154,1099,1168,1183,1129,1050,973,839,852,789,798,698,653
Hawkes Bay,Kindergarten,European/ Pākehā,Age 4,881,877,855,849,855,823,836,783,779,685,600,616,582,518,534
Gisborne,Kindergarten,European/ Pākehā,Age 4,116,102,117,110,101,100,86,83,94,98,100,33,87,92,67
Canterbury,Kindergarten,European/ Pākehā,Age 4,3099,3004,2931,2831,2956,2820,2716,2598,2477,2182,1911,1752,1574,1348,1297
Bay of Plenty,Kindergarten,European/ Pākehā,Age 4,1150,1091,1146,1128,1120,1079,976,959,750,635,618,585,537,457,399
Auckland,Kindergarten,European/ Pākehā,Age 4,4148,4036,3881,3930,3896,3663,3729,3594,3266,3138,3023,2983,2918,2585,2450
Area outside regions,Kindergarten,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,European/ Pākehā,Age 4,6,8,18,8,22,11,27,9,11,4,7,8,6,11,15
Wellington,Home-based,European/ Pākehā,Age 4,142,158,122,145,192,182,167,138,139,126,212,298,240,256,231
Waikato,Home-based,European/ Pākehā,Age 4,86,99,139,128,167,146,145,115,116,144,142,174,168,140,147
Tasman,Home-based,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,European/ Pākehā,Age 4,46,43,50,60,53,55,42,33,56,67,46,76,48,74,65
Southland,Home-based,European/ Pākehā,Age 4,44,37,34,35,32,38,30,26,43,38,36,51,54,40,38
Otago,Home-based,European/ Pākehā,Age 4,173,155,183,139,146,129,130,119,121,154,133,122,115,130,146
Northland,Home-based,European/ Pākehā,Age 4,28,25,15,17,11,16,11,15,35,64,43,44,55,29,42
Nelson,Home-based,European/ Pākehā,Age 4,32,32,30,17,31,25,15,6,17,15,23,31,30,24,18
Marlborough,Home-based,European/ Pākehā,Age 4,9,3,7,2,9,4,1,5,12,8,26,19,33,48,40
Manawatu-Wanganui,Home-based,European/ Pākehā,Age 4,44,24,20,24,46,37,55,78,70,94,144,142,197,208,176
Hawkes Bay,Home-based,European/ Pākehā,Age 4,138,125,107,122,148,130,139,99,117,128,176,174,185,181,202
Gisborne,Home-based,European/ Pākehā,Age 4,6,6,1,3,7,10,2,9,6,27,11,7,10,12,9
Canterbury,Home-based,European/ Pākehā,Age 4,127,128,123,94,95,103,119,109,124,136,212,264,253,217,193
Bay of Plenty,Home-based,European/ Pākehā,Age 4,144,149,168,156,152,194,186,148,176,183,223,298,286,254,255
Auckland,Home-based,European/ Pākehā,Age 4,237,270,244,230,265,218,227,174,243,206,451,484,487,509,504
Area outside regions,Home-based,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,European/ Pākehā,Age 4,92,88,71,67,88,100,88,87,135,112,156,141,175,179,190
Wellington,Education & Care,European/ Pākehā,Age 4,1340,1305,1359,1290,1362,1276,1295,1414,1565,1567,1781,1781,1818,1822,1898
Waikato,Education & Care,European/ Pākehā,Age 4,1055,1093,1167,1219,1213,1247,1292,1372,1602,1677,1867,1988,2140,2120,2130
Tasman,Education & Care,European/ Pākehā,Age 4,168,178,200,185,226,205,200,223,279,280,309,313,293,302,301
Taranaki,Education & Care,European/ Pākehā,Age 4,312,267,286,285,295,316,327,317,355,444,455,519,516,526,607
Southland,Education & Care,European/ Pākehā,Age 4,118,121,159,188,202,204,235,243,293,281,266,312,358,357,414
Otago,Education & Care,European/ Pākehā,Age 4,648,676,739,682,758,814,688,808,860,866,941,1054,1009,1100,1093
Northland,Education & Care,European/ Pākehā,Age 4,293,264,288,307,321,284,287,340,432,427,456,495,516,508,599
Nelson,Education & Care,European/ Pākehā,Age 4,150,164,122,122,132,139,130,139,170,162,198,230,221,237,230
Marlborough,Education & Care,European/ Pākehā,Age 4,146,166,165,167,149,166,134,170,195,173,171,197,221,221,228
Manawatu-Wanganui,Education & Care,European/ Pākehā,Age 4,650,678,604,680,663,678,639,706,761,814,913,899,975,992,978
Hawkes Bay,Education & Care,European/ Pākehā,Age 4,390,381,401,349,409,402,446,384,475,504,555,622,605,667,623
Gisborne,Education & Care,European/ Pākehā,Age 4,177,135,160,143,149,181,139,161,113,135,154,151,125,130,143
Canterbury,Education & Care,European/ Pākehā,Age 4,2136,2207,2402,2396,2484,2597,2580,2678,3093,3277,3545,3621,3765,3848,3732
Bay of Plenty,Education & Care,European/ Pākehā,Age 4,817,861,880,865,863,906,946,978,1264,1323,1321,1431,1441,1493,1552
Auckland,Education & Care,European/ Pākehā,Age 4,4746,4850,4999,4835,5082,4927,4906,5006,5389,5310,5770,6010,6257,6019,6055
Area outside regions,Education & Care,European/ Pākehā,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Asian,Age 4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
Wellington,Playcentre,Asian,Age 4,7,16,9,4,16,9,20,14,10,7,10,10,9,10,16
Waikato,Playcentre,Asian,Age 4,9,4,8,4,4,3,8,3,7,6,8,6,3,4,3
Tasman,Playcentre,Asian,Age 4,0,0,0,0,0,1,3,0,1,0,1,1,2,2,0
Taranaki,Playcentre,Asian,Age 4,2,1,2,0,0,1,1,1,0,0,1,1,0,1,0
Southland,Playcentre,Asian,Age 4,0,1,1,0,0,0,1,0,3,0,3,2,4,0,1
Otago,Playcentre,Asian,Age 4,3,2,2,2,3,2,1,2,5,6,5,3,6,3,2
Northland,Playcentre,Asian,Age 4,4,3,4,1,4,3,1,6,2,6,1,3,1,3,2
Nelson,Playcentre,Asian,Age 4,1,0,0,1,0,0,0,0,0,1,0,3,5,1,4
Marlborough,Playcentre,Asian,Age 4,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0
Manawatu-Wanganui,Playcentre,Asian,Age 4,1,2,3,2,2,1,3,0,0,2,2,1,1,2,2
Hawkes Bay,Playcentre,Asian,Age 4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Gisborne,Playcentre,Asian,Age 4,1,0,1,0,2,2,0,1,0,1,0,0,0,0,0
Canterbury,Playcentre,Asian,Age 4,9,10,4,6,6,8,2,10,9,11,1,10,6,6,11
Bay of Plenty,Playcentre,Asian,Age 4,2,3,3,1,3,2,3,2,3,7,1,1,2,5,3
Auckland,Playcentre,Asian,Age 4,25,23,32,28,21,27,32,19,27,18,26,24,25,24,38
Area outside regions,Playcentre,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waikato,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northland,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlborough,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkes Bay,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gisborne,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canterbury,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay of Plenty,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auckland,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area outside regions,Kōhanga Reo,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,Asian,Age 4,1,2,2,4,0,1,2,2,5,2,7,6,1,7,2
Wellington,Kindergarten,Asian,Age 4,277,269,304,291,307,327,284,301,353,362,355,342,305,310,322
Waikato,Kindergarten,Asian,Age 4,108,94,110,134,160,142,144,155,132,156,166,130,136,127,131
Tasman,Kindergarten,Asian,Age 4,1,1,4,0,4,6,5,5,5,2,5,7,8,10,5
Taranaki,Kindergarten,Asian,Age 4,14,13,18,11,20,17,25,25,15,28,22,27,27,27,32
Southland,Kindergarten,Asian,Age 4,15,13,13,16,6,15,9,7,15,14,16,27,23,17,13
Otago,Kindergarten,Asian,Age 4,53,46,38,37,39,31,31,40,34,35,39,35,39,46,40
Northland,Kindergarten,Asian,Age 4,18,30,16,19,33,16,19,27,23,24,23,25,32,26,24
Nelson,Kindergarten,Asian,Age 4,7,14,13,11,17,17,15,17,9,14,16,20,22,16,26
Marlborough,Kindergarten,Asian,Age 4,6,7,2,2,5,6,3,0,3,7,8,2,8,4,8
Manawatu-Wanganui,Kindergarten,Asian,Age 4,57,64,69,69,71,49,55,63,58,55,57,63,50,48,55
Hawkes Bay,Kindergarten,Asian,Age 4,30,32,34,28,32,34,32,42,35,33,37,33,34,48,33
Gisborne,Kindergarten,Asian,Age 4,4,2,5,6,3,6,7,2,4,4,4,4,4,6,5
Canterbury,Kindergarten,Asian,Age 4,171,131,183,175,214,198,161,172,181,160,150,140,127,146,133
Bay of Plenty,Kindergarten,Asian,Age 4,48,59,64,44,67,82,78,86,81,72,74,67,52,46,43
Auckland,Kindergarten,Asian,Age 4,1159,1235,1312,1427,1514,1470,1279,1348,1399,1248,1128,1089,1088,918,860
Area outside regions,Kindergarten,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Home-based,Asian,Age 4,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
Wellington,Home-based,Asian,Age 4,7,6,2,10,10,4,5,4,7,6,14,16,10,16,19
Waikato,Home-based,Asian,Age 4,1,3,0,4,8,6,3,4,3,5,5,8,7,7,9
Tasman,Home-based,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Home-based,Asian,Age 4,0,1,3,0,0,0,0,0,0,2,0,2,1,0,3
Southland,Home-based,Asian,Age 4,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
Otago,Home-based,Asian,Age 4,4,4,1,2,2,1,1,3,2,1,3,4,1,5,4
Northland,Home-based,Asian,Age 4,0,0,0,0,1,0,0,0,1,3,2,1,1,1,2
Nelson,Home-based,Asian,Age 4,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
Marlborough,Home-based,Asian,Age 4,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1
Manawatu-Wanganui,Home-based,Asian,Age 4,1,1,0,0,0,0,1,1,0,0,3,2,7,6,8
Hawkes Bay,Home-based,Asian,Age 4,0,0,0,2,2,2,2,1,3,2,1,2,5,4,6
Gisborne,Home-based,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
Canterbury,Home-based,Asian,Age 4,0,4,2,2,2,3,0,2,3,5,4,3,3,6,3
Bay of Plenty,Home-based,Asian,Age 4,7,2,4,2,5,4,3,3,5,7,9,20,22,14,15
Auckland,Home-based,Asian,Age 4,11,6,5,13,17,15,20,14,32,34,51,70,79,84,89
Area outside regions,Home-based,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Education & Care,Asian,Age 4,0,1,0,1,3,0,0,0,1,0,3,3,2,4,5
Wellington,Education & Care,Asian,Age 4,129,128,133,138,145,150,141,159,190,174,190,219,284,325,352
Waikato,Education & Care,Asian,Age 4,33,42,66,71,48,62,48,82,87,120,116,144,214,235,263
Tasman,Education & Care,Asian,Age 4,0,1,2,3,5,3,3,7,3,4,2,8,4,9,5
Taranaki,Education & Care,Asian,Age 4,4,4,11,5,5,8,10,6,12,18,12,17,22,20,31
Southland,Education & Care,Asian,Age 4,1,1,4,2,1,1,1,2,4,8,7,12,7,13,24
Otago,Education & Care,Asian,Age 4,20,23,20,21,22,13,19,37,34,43,36,45,60,59,66
Northland,Education & Care,Asian,Age 4,14,10,6,7,5,11,7,7,11,15,21,14,22,22,26
Nelson,Education & Care,Asian,Age 4,2,7,5,3,5,4,5,2,8,11,7,10,14,19,28
Marlborough,Education & Care,Asian,Age 4,5,3,3,0,3,3,3,3,3,4,10,9,9,12,14
Manawatu-Wanganui,Education & Care,Asian,Age 4,28,30,26,19,31,34,33,49,39,46,36,70,70,94,88
Hawkes Bay,Education & Care,Asian,Age 4,4,8,9,14,11,14,8,12,16,24,23,28,39,34,55
Gisborne,Education & Care,Asian,Age 4,4,0,4,3,4,6,4,3,5,8,6,6,6,16,14
Canterbury,Education & Care,Asian,Age 4,69,78,116,110,116,110,94,137,166,211,234,280,287,334,378
Bay of Plenty,Education & Care,Asian,Age 4,28,24,38,43,31,25,38,25,59,67,106,90,135,129,171
Auckland,Education & Care,Asian,Age 4,858,900,997,1116,1227,1184,1076,1247,1635,1833,1915,2273,2588,2797,3148
Area outside regions,Education & Care,Asian,Age 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Pasifika,Age 3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
Wellington,Playcentre,Pasifika,Age 3,16,15,18,25,15,13,14,7,8,12,19,15,20,16,10
Waikato,Playcentre,Pasifika,Age 3,5,8,4,4,7,7,3,4,8,0,16,4,4,6,5
Tasman,Playcentre,Pasifika,Age 3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
Taranaki,Playcentre,Pasifika,Age 3,0,0,0,0,1,1,0,2,0,0,1,0,0,1,1
Southland,Playcentre,Pasifika,Age 3,0,2,0,0,1,0,0,0,0,1,0,1,2,2,1
Otago,Playcentre,Pasifika,Age 3,1,1,1,6,2,4,8,5,4,3,1,4,4,6,3
Northland,Playcentre,Pasifika,Age 3,4,3,2,5,7,7,2,2,1,5,4,1,4,4,1
Nelson,Playcentre,Pasifika,Age 3,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1
Marlborough,Playcentre,Pasifika,Age 3,1,1,3,0,0,1,0,1,1,2,0,0,0,1,0
Manawatu-Wanganui,Playcentre,Pasifika,Age 3,1,0,1,2,0,2,2,1,0,2,4,3,3,1,2
Hawkes Bay,Playcentre,Pasifika,Age 3,0,2,1,0,0,0,2,0,1,2,0,0,1,0,0
Gisborne,Playcentre,Pasifika,Age 3,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0
Canterbury,Playcentre,Pasifika,Age 3,4,2,6,4,1,8,4,4,2,5,4,3,3,2,0
Bay of Plenty,Playcentre,Pasifika,Age 3,6,4,4,6,2,3,2,2,1,1,2,1,0,1,2
Auckland,Playcentre,Pasifika,Age 3,34,30,42,43,36,28,37,35,31,28,30,24,22,20,17
Area outside regions,Playcentre,Pasifika,Age 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Pasifika,Age 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Pasifika,Age 3,3,0,1,0,0,0,0,12,8,11,11,14,8,12,24
