Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bay of Plenty,Education & Care,Pasifika,Less than 1,2,5,3,8,10,4,7,3,3,4,4,4,8,9,5
Auckland,Education & Care,Pasifika,Less than 1,106,113,125,131,130,154,158,179,161,184,207,227,196,235,211
Area outside regions,Education & Care,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,1,0,0,1,0,0,0,2,0,3,0
Wellington,Playcentre,Other/ Unknown*,Less than 1,3,2,6,1,5,2,5,3,2,6,20,33,25,25,5
Waikato,Playcentre,Other/ Unknown*,Less than 1,1,3,2,1,1,2,6,4,4,5,26,18,24,34,11
Tasman,Playcentre,Other/ Unknown*,Less than 1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Taranaki,Playcentre,Other/ Unknown*,Less than 1,0,0,1,0,1,6,0,0,1,3,0,0,0,2,0
Southland,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Otago,Playcentre,Other/ Unknown*,Less than 1,2,1,0,1,2,0,2,0,0,0,3,1,3,2,1
Northland,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,2,4,1,2,1,2,1,0,0,2
Nelson,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,0,1,1,0,1,1,2,0,1,0
Marlborough,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Manawatu-Wanganui,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,1,2,2,0,0,1,1,0,1,1
Hawkes Bay,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,1,1,0,1,8,0,0,2,0,0,0
Gisborne,Playcentre,Other/ Unknown*,Less than 1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Canterbury,Playcentre,Other/ Unknown*,Less than 1,1,0,2,1,1,1,6,2,0,7,1,3,4,3,7
Bay of Plenty,Playcentre,Other/ Unknown*,Less than 1,0,1,1,1,1,0,3,0,5,1,4,1,6,4,3
Auckland,Playcentre,Other/ Unknown*,Less than 1,4,6,4,3,5,3,3,10,4,7,6,16,22,16,11
Area outside regions,Playcentre,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,2,2,2,0,2,1,2,0
Waikato,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,1,0,0,0,3,1,0,5,2,2,4,0
Tasman,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Taranaki,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,3,1,0,4,1,4,1,2
Southland,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otago,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Northland,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Nelson,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marlborough,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Manawatu-Wanganui,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,3,3,4,2,1,4,0,0
Hawkes Bay,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,2,1,1,0,3,3,0
Gisborne,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Canterbury,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1
Bay of Plenty,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,1,3,3,1,2,0,0,2
Auckland,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,2,3,4,2,1,1,0,0
Area outside regions,Kōhanga Reo,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,Other/ Unknown*,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
